MESE,ANNO,PROVENIENZA,COD_ISO,REGIONE,COD_ISTAT_REGIONE,PROVINCIA,COMUNE,COD_ISTAT_COMUNE,TOTALE
3,2025,PAESI BASSI,NLD,LOMBARDIA,03,MILANO,MILANO,015146,2
3,2025,POLONIA,POL,LOMBARDIA,03,MILANO,MILANO,015146,1
3,2025,POLONIA,POL,PIEMONTE,01,TORINO,TORINO,001272,1
3,2025,POLONIA,POL,VENETO,05,VERONA,LEGNAGO,023044,1
3,2025,POLONIA,POL,VENETO,05,PADOVA,PADOVA,028060,2
3,2025,PORTOGALLO,PRT,LOMBARDIA,03,VARESE,GALLARATE,012070,1
3,2025,PORTOGALLO,PRT,LOMBARDIA,03,MILANO,MILANO,015146,1
3,2025,PORTOGALLO,PRT,MARCHE,11,ANCONA,FABRIANO,042017,1
3,2025,ROMANIA,ROU,EMILIA ROMAGNA,08,BOLOGNA,MOLINELLA,037039,1
3,2025,ROMANIA,ROU,LAZIO,12,ROMA,MONTEROTONDO,058065,1
3,2025,ROMANIA,ROU,LOMBARDIA,03,MILANO,CINISELLO BALSAMO,015077,1
3,2025,ROMANIA,ROU,LOMBARDIA,03,MILANO,PERO,015170,1
3,2025,SPAGNA,ESP,LOMBARDIA,03,MILANO,MILANO,015146,1
3,2025,SPAGNA,ESP,LOMBARDIA,03,BERGAMO,MONTELLO,016139,1
3,2025,SVEZIA,SWE,LOMBARDIA,03,MILANO,MILANO,015146,1
2,2025,AUSTRIA,AUT,FRIULI VENEZIA GIULIA,06,UDINE,UDINE,030129,1
2,2025,BELGIO,BEL,LOMBARDIA,03,MILANO,MILANO,015146,1
2,2025,BELGIO,BEL,LOMBARDIA,03,BRESCIA,REZZATO,017161,1
2,2025,ESTONIA,EST,LOMBARDIA,03,COMO,COMO,013075,1
2,2025,FRANCIA,FRA,ABRUZZO,13,PESCARA,MONTESILVANO,068024,1
2,2025,FRANCIA,FRA,CAMPANIA,15,NAPOLI,NAPOLI,063049,1
2,2025,FRANCIA,FRA,LAZIO,12,ROMA,ROMA,058091,2
2,2025,FRANCIA,FRA,LOMBARDIA,03,MILANO,MILANO,015146,2
2,2025,FRANCIA,FRA,PIEMONTE,01,TORINO,TORINO,001272,3
2,2025,FRANCIA,FRA,TRENTINO ALTO ADIGE,04,TRENTO,TRENTO,022205,1
2,2025,GERMANIA,DEU,SICILIA,19,AGRIGENTO,AGRIGENTO,084001,1
2,2025,GERMANIA,DEU,TOSCANA,09,LIVORNO,CAMPIGLIA MARITTIMA,049002,1
2,2025,GERMANIA,DEU,TRENTINO ALTO ADIGE,04,BOLZANO/BOZEN,BOLZANO,021008,1
2,2025,PAESI BASSI,NLD,LOMBARDIA,03,MILANO,CINISELLO BALSAMO,015077,1
2,2025,PAESI BASSI,NLD,LOMBARDIA,03,MILANO,MILANO,015146,1
2,2025,PAESI BASSI,NLD,MARCHE,11,ANCONA,ANCONA,042002,1
2,2025,PAESI BASSI,NLD,SICILIA,19,CATANIA,RIPOSTO,087039,1
2,2025,PAKISTAN,PAK,LAZIO,12,ROMA,ROMA,058091,1
2,2025,PORTOGALLO,PRT,LOMBARDIA,03,VARESE,GALLARATE,012070,1
2,2025,PORTOGALLO,PRT,LOMBARDIA,03,MILANO,MILANO,015146,2
2,2025,ROMANIA,ROU,LOMBARDIA,03,MILANO,CINISELLO BALSAMO,015077,1
2,2025,ROMANIA,ROU,PIEMONTE,01,TORINO,TORINO,001272,1
2,2025,SPAGNA,ESP,EMILIA ROMAGNA,08,RIMINI,RIMINI,099014,1
2,2025,SPAGNA,ESP,LOMBARDIA,03,MILANO,MILANO,015146,1
1,2025,ANGOLA,AGO,LAZIO,12,ROMA,ROMA,058091,1
1,2025,AUSTRIA,AUT,SARDEGNA,20,SUD SARDEGNA,VILLAMAR,111097,1
1,2025,AUSTRIA,AUT,TRENTINO ALTO ADIGE,04,BOLZANO/BOZEN,BOLZANO,021008,1
1,2025,BELGIO,BEL,LAZIO,12,ROMA,ROMA,058091,1
1,2025,BELGIO,BEL,LOMBARDIA,03,MILANO,MILANO,015146,1
1,2025,BRASILE,BRA,LOMBARDIA,03,MILANO,MILANO,015146,1
1,2025,DANIMARCA,DNK,LAZIO,12,ROMA,ROMA,058091,1
1,2025,FRANCIA,FRA,LAZIO,12,ROMA,ROMA,058091,1
1,2025,FRANCIA,FRA,LOMBARDIA,03,MILANO,MILANO,015146,4
1,2025,FRANCIA,FRA,SICILIA,19,CATANIA,CATANIA,087015,1
1,2025,FRANCIA,FRA,VENETO,05,PADOVA,PADOVA,028060,1
1,2025,GERMANIA,DEU,FRIULI VENEZIA GIULIA,06,PORDENONE,MANIAGO,093025,1
1,2025,GERMANIA,DEU,LOMBARDIA,03,MILANO,PIOLTELLO,015175,1
1,2025,GERMANIA,DEU,TOSCANA,09,LIVORNO,CAMPIGLIA MARITTIMA,049002,1
1,2025,GERMANIA,DEU,TRENTINO ALTO ADIGE,04,BOLZANO/BOZEN,BOLZANO,021008,1
1,2025,PAESI BASSI,NLD,EMILIA ROMAGNA,08,BOLOGNA,BOLOGNA,037006,1
1,2025,PAESI BASSI,NLD,LAZIO,12,ROMA,ROMA,058091,1
1,2025,PAESI BASSI,NLD,PIEMONTE,01,TORINO,RUBIANA,001229,1
1,2025,POLONIA,POL,LOMBARDIA,03,MILANO,MILANO,015146,1
1,2025,PORTOGALLO,PRT,LOMBARDIA,03,VARESE,GALLARATE,012070,3
1,2025,PORTOGALLO,PRT,LOMBARDIA,03,MILANO,MILANO,015146,1
1,2025,PORTOGALLO,PRT,TOSCANA,09,FIRENZE,SESTO FIORENTINO,048043,1
1,2025,SLOVENIA,SVN,FRIULI VENEZIA GIULIA,06,GORIZIA,GORIZIA,031007,1
1,2025,SVEZIA,SWE,EMILIA ROMAGNA,08,RIMINI,RIMINI,099014,1
12,2024,AUSTRIA,AUT,TRENTINO ALTO ADIGE,04,BOLZANO/BOZEN,BOLZANO,021008,1
12,2024,BELGIO,BEL,CAMPANIA,15,NAPOLI,NAPOLI,063049,1
12,2024,DANIMARCA,DNK,PUGLIA,16,BARI,BARI,072006,1
12,2024,FRANCIA,FRA,LOMBARDIA,03,MILANO,MILANO,015146,2
12,2024,FRANCIA,FRA,SICILIA,19,PALERMO,PALERMO,082053,1
12,2024,GERMANIA,DEU,FRIULI VENEZIA GIULIA,06,PORDENONE,PORDENONE,093033,1
12,2024,PAESI BASSI,NLD,UMBRIA,10,PERUGIA,PERUGIA,054039,1
12,2024,PAESI BASSI,NLD,VENETO,05,PADOVA,PADOVA,028060,1
12,2024,REGNO UNITO,GBR,LAZIO,12,ROMA,ROMA,058091,1
12,2024,REPUBBLICA CECA,CZE,LAZIO,12,ROMA,ROMA,058091,2
12,2024,REPUBBLICA CECA,CZE,SARDEGNA,20,SUD SARDEGNA,ARBUS,111001,1
12,2024,ROMANIA,ROU,LAZIO,12,ROMA,ROMA,058091,1
12,2024,STATI UNITI D'AMERICA,USA,FRIULI VENEZIA GIULIA,06,TRIESTE,TRIESTE,032006,1
7,2024,ESTONIA,EST,CAMPANIA,15,NAPOLI,NAPOLI,063049,1
7,2024,POLONIA,POL,UMBRIA,10,PERUGIA,CASTIGLIONE DEL LAGO,054009,1
